rows,kind,server_pss_mib,server_rss_mib,v8_retained_mib,v8_after_updates_mib,scalar_median_ms,scalar_p95_ms,toggle_median_ms,toggle_p95_ms
100,nano,4.0634765625,4.83984375,1.3941612243652344,1.4847145080566406,0.6000000014901161,2.1650000024586906,0.9000000022351742,1.610000001266599
100,nano_python,11.1806640625,13.4765625,1.3926048278808594,1.4834938049316406,0.5,2.3300000008195623,0.9000000059604645,1.8049999970942736
100,nano_react,5.5,6.27734375,2.3472518920898438,2.840412139892578,0.75,1.81000000052154,1.8999999985098839,3.5599999997764833
100,nano_react_python,12.1103515625,14.40625,2.3396873474121094,2.834033966064453,0.7000000029802322,1.2550000004470345,1.8000000044703484,3.5199999999254943
100,reflex,63.5244140625,66.72265625,3.0725059509277344,3.3454742431640625,1.550000000745058,3.7000000029802322,1.8999999985098839,2.6250000011175874
1000,nano,6.2666015625,7.04296875,2.61492919921875,2.7090721130371094,0.5,1.010000000149011,3.2500000037252903,6.480000004172328
1000,nano_python,13.9931640625,16.2890625,2.6149368286132812,2.7090377807617188,0.3999999985098839,1.2000000029802322,3.100000001490116,5.430000004172327
1000,nano_react,8.1015625,8.87890625,5.361724853515625,6.8687744140625,0.8000000007450581,2.820000000670551,11.400000002235174,21.910000002756718
1000,nano_react_python,15.4052734375,17.703125,5.364803314208984,6.871570587158203,0.6999999955296516,3.689999997988338,11.099999997764826,14.604999998584393
1000,reflex,64.3720703125,67.5703125,4.909027099609375,5.161384582519531,3.5,7.785000002011649,8.450000002980232,10.030000000074507
10000,nano,28.2275390625,29.00390625,13.59262466430664,13.689826965332031,0.6000000014901161,12.409999998658895,37.80000000074506,48.130000001564625
10000,nano_python,43.3076171875,45.60546875,13.592636108398438,13.689838409423828,0.5,11.040000003948805,39.25,43.89500000141562
10000,nano_react,30.66015625,31.4375,35.01644515991211,46.51883316040039,14.74999999627471,22.530000000819552,92.54999999701977,122.27499999701978
10000,nano_react_python,44.6240234375,46.91796875,35.01197814941406,46.67280960083008,14.849999997764826,17.979999998956913,92.64999999850988,129.46499999873342
10000,reflex,74.0146484375,77.21875,22.96091079711914,23.433334350585938,41.5,51.17000000178813,75.70000000298023,87.9299999970943
