rows,operation,clients,kind,median_ms,p95_ms,events_per_second,received_bytes_per_event
0,increment,1,nano,0.083551,0.17463409999999993,8748.656095521274,195.55
0,increment,1,nano_python,0.09810849999999999,0.17694324999999997,7857.871844345058,195.55
0,increment,1,reflex,0.451307,0.6916626,2079.310733404399,146.92
0,increment,8,nano,0.42376400000000003,0.6514685499999999,17502.103699592342,195.55
0,increment,8,nano_python,0.42021949999999997,0.63451105,17108.45729102166,195.55
0,increment,8,reflex,2.6692669999999996,3.9080810499999985,2954.5217193107683,146.92
0,increment_async,1,nano,0.113622,0.1721643,7420.999930239153,195.55
0,increment_async,1,nano_python,0.130515,0.20927555,6638.956986835767,195.55
0,increment_async,1,reflex,0.4708605,0.6054256499999999,1991.583647340884,146.92
0,increment_async,8,nano,0.4364175,0.62876665,18078.04854156229,195.55
0,increment_async,8,nano_python,0.49235399999999996,0.6072396,15760.68782412999,195.55
0,increment_async,8,reflex,2.4867475,3.7361233999999994,3064.3923992261352,146.92
100,increment,1,nano,0.0910495,0.15018155,8750.09909651814,195.55
100,increment,1,nano_python,0.08494850000000001,0.19651179999999996,7607.708219437908,195.55
100,increment,1,reflex,0.4263745,0.6684152499999998,2132.7971650651666,146.92
100,increment,8,nano,0.472259,0.6086283499999997,16499.80652731062,195.55
100,increment,8,nano_python,0.389359,0.6585656499999994,18630.169295022803,195.55
100,increment,8,reflex,2.4108255,3.7022854499999993,3141.463119702175,146.92
100,increment_async,1,nano,0.11231,0.2009205,7017.432075403188,195.55
100,increment_async,1,nano_python,0.1109145,0.18255794999999997,7191.58888800805,195.55
100,increment_async,1,reflex,0.45927399999999996,0.6122259499999997,2022.7247460507656,146.92
100,increment_async,8,nano,0.5155395,0.6419976000000001,15447.12097049222,195.55
100,increment_async,8,nano_python,0.4098895,0.6228891,17169.09483121086,195.55
100,increment_async,8,reflex,2.4892434999999997,3.823239099999998,3050.2709590276277,146.92
100,toggle,1,nano,0.223227,0.39462479999999994,3759.6082427525025,4209.14
100,toggle,1,nano_python,0.1920005,0.30735165000000003,4339.9357066406355,4209.14
100,toggle,1,reflex,0.8686435,1.1491143999999995,1071.1725841706332,4160.51
100,toggle,8,nano,0.822328,1.2438392,9341.567115543565,4209.14
100,toggle,8,nano_python,0.822713,1.0992260999999999,9158.916543984957,4209.14
100,toggle,8,reflex,5.768048,8.352616399999999,1343.3858042183833,4160.51
1000,increment,1,nano,0.099245,0.21838384999999988,7947.114181726304,195.55
1000,increment,1,nano_python,0.08823800000000001,0.13772675,9164.385804571157,195.55
1000,increment,1,reflex,0.4776015,0.7613127999999999,1914.107305954247,146.92
1000,increment,8,nano,0.529421,0.6714870000000001,14175.362380075823,195.55
1000,increment,8,nano_python,0.4482165,0.6399530499999999,16471.671924745264,195.55
1000,increment,8,reflex,2.643065,3.91758615,2947.9496775784223,146.92
1000,increment_async,1,nano,0.1138015,0.21932504999999997,6524.7473250995545,195.55
1000,increment_async,1,nano_python,0.125685,0.21327309999999994,6581.664471112066,195.55
1000,increment_async,1,reflex,0.4105255,0.59869335,2216.959505062267,146.92
1000,increment_async,8,nano,0.41942349999999995,0.6835403999999992,16643.980920036756,195.55
1000,increment_async,8,nano_python,0.489997,0.6613006999999999,14731.250974934394,195.55
1000,increment_async,8,reflex,2.3830525,3.7666598499999986,3204.3241200464763,146.92
1000,toggle,1,nano,0.86602,1.1670729,1033.4573551406838,42906.13
1000,toggle,1,nano_python,0.90006,1.4442017999999999,968.4035581703106,42906.13
1000,toggle,1,reflex,4.3251455,5.864414099999999,218.73723258072286,42857.5
1000,toggle,8,nano,4.4164215,6.77029365,1666.8385871728601,42906.13
1000,toggle,8,nano_python,4.252774499999999,6.099837,1648.1211558805571,42906.13
1000,toggle,8,reflex,31.008651999999998,44.79016649999999,258.8917516069288,42857.5
10000,increment,1,nano,0.09206600000000001,0.179865,8259.824336826807,195.55
10000,increment,1,nano_python,0.1204225,0.23356914999999992,6636.363264746587,195.55
10000,increment,1,reflex,0.402158,0.52559665,2356.7434633559014,146.92
10000,increment,8,nano,0.47247950000000005,0.6759705499999996,13957.880316268966,195.55
10000,increment,8,nano_python,0.5106725,0.8506431999999998,12017.657604009653,195.55
10000,increment,8,reflex,2.5217074999999998,3.9344998999999996,2973.808453399138,146.92
10000,increment_async,1,nano,0.116221,0.20421884999999998,6637.183853474528,195.55
10000,increment_async,1,nano_python,0.11684649999999999,0.2139702,7015.110480406953,195.55
10000,increment_async,1,reflex,0.4714475,0.6753088500000001,1948.4142140276342,146.92
10000,increment_async,8,nano,0.4777665,0.6823778499999997,13702.373184475611,195.55
10000,increment_async,8,nano_python,0.4384325,0.6725247499999999,12694.1859384572,195.55
10000,increment_async,8,reflex,2.3705515,3.33563405,3221.2652858322876,146.92
10000,toggle,1,nano,8.072156,11.131168649999998,113.72802247726153,447907.13
10000,toggle,1,nano_python,8.8330965,13.9731712,100.09794513797665,447907.13
10000,toggle,1,reflex,38.5339915,42.13326514999999,25.2231073513358,447858.5
10000,toggle,8,nano,39.4269035,47.75795694999999,197.24091761358116,447907.13
10000,toggle,8,nano_python,38.999834,48.07182349999999,203.5700896836905,447907.13
10000,toggle,8,reflex,264.300391,293.17616675,30.07404038411644,447858.51
